Kachelname,Aktualitaet,Erfassungsmethode,Fortfuehrung,Fortfuehrungsmethode,Aufloesung,Koordinatenreferenzsystem_Lage,Koordinatenreferenzsystem_Hoehe,Hoehenanomalie,Unnamed: 9
3dm_32_412_5797_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_466_5741_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_419_5673_1_nw,2021-03,5020,2021-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_440_5622_1_nw,2021-03,5020,2021-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_388_5743_1_nw,2018-12,5020,2018-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_458_5706_1_nw,2018-02,5020,2018-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_468_5763_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_333_5628_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_434_5722_1_nw,2018-02,5020,2018-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_353_5641_1_nw,2022-01,5020,2022-01,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_319_5700_1_nw,2020-03,5020,2020-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_357_5664_1_nw,2020-11,5020,2020-11,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_341_5663_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_334_5616_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_529_5719_1_nw,2018-03,5020,2018-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_416_5729_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_307_5747_1_nw,2020-01,5020,2020-01,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_503_5749_1_nw,2019-02,5020,2019-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_384_5629_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_363_5646_1_nw,2022-02,5020,2022-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_455_5636_1_nw,2021-03,5020,2021-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_414_5710_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_500_5733_1_nw,2018-03,5020,2018-03,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_405_5721_1_nw,2019-12,5020,2019-12,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_417_5752_1_nw,2019-01,5020,2019-01,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
3dm_32_410_5645_1_nw,2021-02,5020,2021-02,5020,"4,00",ETRS89_UTM32,DE_DHHN2016_NH,DE_AdV_GCG2016_QGH,
