Kachelname_img,Aktualitaet_img,coords,Kachelname_pc,Aktualitaet_pc,diff
dop10rgbi_32_362_5606_1_nw_2021,2021-05-01,"(362, 5606)",3dm_32_362_5606_1_nw,2021-12-01,214 days
dop10rgbi_32_391_5623_1_nw_2021,2021-06-01,"(391, 5623)",3dm_32_391_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_364_5611_1_nw_2021,2021-05-01,"(364, 5611)",3dm_32_364_5611_1_nw,2021-12-01,214 days
dop10rgbi_32_353_5626_1_nw_2021,2021-06-01,"(353, 5626)",3dm_32_353_5626_1_nw,2022-01-01,214 days
dop10rgbi_32_354_5603_1_nw_2021,2021-05-01,"(354, 5603)",3dm_32_354_5603_1_nw,2021-12-01,214 days
dop10rgbi_32_397_5625_1_nw_2021,2021-06-01,"(397, 5625)",3dm_32_397_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_392_5632_1_nw_2021,2021-06-01,"(392, 5632)",3dm_32_392_5632_1_nw,2022-01-01,214 days
dop10rgbi_32_378_5611_1_nw_2021,2021-05-01,"(378, 5611)",3dm_32_378_5611_1_nw,2021-12-01,214 days
dop10rgbi_32_358_5635_1_nw_2021,2021-06-01,"(358, 5635)",3dm_32_358_5635_1_nw,2022-01-01,214 days
dop10rgbi_32_350_5613_1_nw_2021,2021-05-01,"(350, 5613)",3dm_32_350_5613_1_nw,2021-12-01,214 days
dop10rgbi_32_361_5611_1_nw_2021,2021-05-01,"(361, 5611)",3dm_32_361_5611_1_nw,2021-12-01,214 days
dop10rgbi_32_365_5624_1_nw_2021,2021-06-01,"(365, 5624)",3dm_32_365_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_357_5623_1_nw_2021,2021-06-01,"(357, 5623)",3dm_32_357_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_355_5612_1_nw_2021,2021-05-01,"(355, 5612)",3dm_32_355_5612_1_nw,2021-12-01,214 days
dop10rgbi_32_386_5633_1_nw_2021,2021-06-01,"(386, 5633)",3dm_32_386_5633_1_nw,2022-01-01,214 days
dop10rgbi_32_361_5641_1_nw_2021,2021-06-01,"(361, 5641)",3dm_32_361_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_386_5636_1_nw_2021,2021-06-01,"(386, 5636)",3dm_32_386_5636_1_nw,2022-01-01,214 days
dop10rgbi_32_355_5635_1_nw_2021,2021-06-01,"(355, 5635)",3dm_32_355_5635_1_nw,2022-01-01,214 days
dop10rgbi_32_369_5609_1_nw_2021,2021-05-01,"(369, 5609)",3dm_32_369_5609_1_nw,2021-12-01,214 days
dop10rgbi_32_398_5624_1_nw_2021,2021-06-01,"(398, 5624)",3dm_32_398_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_364_5634_1_nw_2021,2021-06-01,"(364, 5634)",3dm_32_364_5634_1_nw,2022-01-01,214 days
dop10rgbi_32_369_5610_1_nw_2021,2021-05-01,"(369, 5610)",3dm_32_369_5610_1_nw,2021-12-01,214 days
dop10rgbi_32_389_5638_1_nw_2021,2021-06-01,"(389, 5638)",3dm_32_389_5638_1_nw,2022-01-01,214 days
dop10rgbi_32_353_5635_1_nw_2021,2021-06-01,"(353, 5635)",3dm_32_353_5635_1_nw,2022-01-01,214 days
dop10rgbi_32_370_5609_1_nw_2021,2021-05-01,"(370, 5609)",3dm_32_370_5609_1_nw,2021-12-01,214 days
dop10rgbi_32_359_5602_1_nw_2021,2021-05-01,"(359, 5602)",3dm_32_359_5602_1_nw,2021-12-01,214 days
dop10rgbi_32_403_5625_1_nw_2021,2021-06-01,"(403, 5625)",3dm_32_403_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_366_5606_1_nw_2021,2021-05-01,"(366, 5606)",3dm_32_366_5606_1_nw,2021-12-01,214 days
dop10rgbi_32_381_5634_1_nw_2021,2021-06-01,"(381, 5634)",3dm_32_381_5634_1_nw,2022-01-01,214 days
dop10rgbi_32_370_5640_1_nw_2021,2021-06-01,"(370, 5640)",3dm_32_370_5640_1_nw,2022-01-01,214 days
dop10rgbi_32_378_5624_1_nw_2021,2021-06-01,"(378, 5624)",3dm_32_378_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_364_5624_1_nw_2021,2021-06-01,"(364, 5624)",3dm_32_364_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_369_5640_1_nw_2021,2021-06-01,"(369, 5640)",3dm_32_369_5640_1_nw,2022-01-01,214 days
dop10rgbi_32_355_5608_1_nw_2021,2021-05-01,"(355, 5608)",3dm_32_355_5608_1_nw,2021-12-01,214 days
dop10rgbi_32_370_5639_1_nw_2021,2021-06-01,"(370, 5639)",3dm_32_370_5639_1_nw,2022-01-01,214 days
dop10rgbi_32_369_5632_1_nw_2021,2021-06-01,"(369, 5632)",3dm_32_369_5632_1_nw,2022-01-01,214 days
dop10rgbi_32_360_5632_1_nw_2021,2021-06-01,"(360, 5632)",3dm_32_360_5632_1_nw,2022-01-01,214 days
dop10rgbi_32_370_5632_1_nw_2021,2021-06-01,"(370, 5632)",3dm_32_370_5632_1_nw,2022-01-01,214 days
dop10rgbi_32_369_5639_1_nw_2021,2021-06-01,"(369, 5639)",3dm_32_369_5639_1_nw,2022-01-01,214 days
dop10rgbi_32_346_5632_1_nw_2021,2021-06-01,"(346, 5632)",3dm_32_346_5632_1_nw,2022-01-01,214 days
dop10rgbi_32_355_5606_1_nw_2021,2021-05-01,"(355, 5606)",3dm_32_355_5606_1_nw,2021-12-01,214 days
dop10rgbi_32_367_5640_1_nw_2021,2021-06-01,"(367, 5640)",3dm_32_367_5640_1_nw,2022-01-01,214 days
dop10rgbi_32_389_5641_1_nw_2021,2021-06-01,"(389, 5641)",3dm_32_389_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_375_5638_1_nw_2021,2021-06-01,"(375, 5638)",3dm_32_375_5638_1_nw,2022-01-01,214 days
dop10rgbi_32_373_5625_1_nw_2021,2021-06-01,"(373, 5625)",3dm_32_373_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_358_5638_1_nw_2021,2021-06-01,"(358, 5638)",3dm_32_358_5638_1_nw,2022-01-01,214 days
dop10rgbi_32_359_5632_1_nw_2021,2021-06-01,"(359, 5632)",3dm_32_359_5632_1_nw,2022-01-01,214 days
dop10rgbi_32_363_5606_1_nw_2021,2021-05-01,"(363, 5606)",3dm_32_363_5606_1_nw,2021-12-01,214 days
dop10rgbi_32_370_5623_1_nw_2021,2021-06-01,"(370, 5623)",3dm_32_370_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_362_5623_1_nw_2021,2021-06-01,"(362, 5623)",3dm_32_362_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_347_5641_1_nw_2021,2021-06-01,"(347, 5641)",3dm_32_347_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_369_5623_1_nw_2021,2021-06-01,"(369, 5623)",3dm_32_369_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_367_5639_1_nw_2021,2021-06-01,"(367, 5639)",3dm_32_367_5639_1_nw,2022-01-01,214 days
dop10rgbi_32_353_5639_1_nw_2021,2021-06-01,"(353, 5639)",3dm_32_353_5639_1_nw,2022-01-01,214 days
dop10rgbi_32_383_5638_1_nw_2021,2021-06-01,"(383, 5638)",3dm_32_383_5638_1_nw,2022-01-01,214 days
dop10rgbi_32_364_5633_1_nw_2021,2021-06-01,"(364, 5633)",3dm_32_364_5633_1_nw,2022-01-01,214 days
dop10rgbi_32_354_5633_1_nw_2021,2021-06-01,"(354, 5633)",3dm_32_354_5633_1_nw,2022-01-01,214 days
dop10rgbi_32_348_5634_1_nw_2021,2021-06-01,"(348, 5634)",3dm_32_348_5634_1_nw,2022-01-01,214 days
dop10rgbi_32_353_5602_1_nw_2021,2021-05-01,"(353, 5602)",3dm_32_353_5602_1_nw,2021-12-01,214 days
dop10rgbi_32_376_5638_1_nw_2021,2021-06-01,"(376, 5638)",3dm_32_376_5638_1_nw,2022-01-01,214 days
dop10rgbi_32_353_5640_1_nw_2021,2021-06-01,"(353, 5640)",3dm_32_353_5640_1_nw,2022-01-01,214 days
dop10rgbi_32_399_5626_1_nw_2021,2021-06-01,"(399, 5626)",3dm_32_399_5626_1_nw,2022-01-01,214 days
dop10rgbi_32_384_5623_1_nw_2021,2021-06-01,"(384, 5623)",3dm_32_384_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_390_5641_1_nw_2021,2021-06-01,"(390, 5641)",3dm_32_390_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_361_5607_1_nw_2021,2021-05-01,"(361, 5607)",3dm_32_361_5607_1_nw,2021-12-01,214 days
dop10rgbi_32_356_5624_1_nw_2021,2021-06-01,"(356, 5624)",3dm_32_356_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_365_5606_1_nw_2021,2021-05-01,"(365, 5606)",3dm_32_365_5606_1_nw,2021-12-01,214 days
dop10rgbi_32_351_5625_1_nw_2021,2021-06-01,"(351, 5625)",3dm_32_351_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_367_5636_1_nw_2021,2021-06-01,"(367, 5636)",3dm_32_367_5636_1_nw,2022-01-01,214 days
dop10rgbi_32_377_5639_1_nw_2021,2021-06-01,"(377, 5639)",3dm_32_377_5639_1_nw,2022-01-01,214 days
dop10rgbi_32_398_5626_1_nw_2021,2021-06-01,"(398, 5626)",3dm_32_398_5626_1_nw,2022-01-01,214 days
dop10rgbi_32_358_5634_1_nw_2021,2021-06-01,"(358, 5634)",3dm_32_358_5634_1_nw,2022-01-01,214 days
dop10rgbi_32_362_5624_1_nw_2021,2021-06-01,"(362, 5624)",3dm_32_362_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_372_5641_1_nw_2021,2021-06-01,"(372, 5641)",3dm_32_372_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_381_5637_1_nw_2021,2021-06-01,"(381, 5637)",3dm_32_381_5637_1_nw,2022-01-01,214 days
dop10rgbi_32_402_5626_1_nw_2021,2021-06-01,"(402, 5626)",3dm_32_402_5626_1_nw,2022-01-01,214 days
dop10rgbi_32_375_5635_1_nw_2021,2021-06-01,"(375, 5635)",3dm_32_375_5635_1_nw,2022-01-01,214 days
dop10rgbi_32_372_5632_1_nw_2021,2021-06-01,"(372, 5632)",3dm_32_372_5632_1_nw,2022-01-01,214 days
dop10rgbi_32_392_5626_1_nw_2021,2021-06-01,"(392, 5626)",3dm_32_392_5626_1_nw,2022-01-01,214 days
dop10rgbi_32_371_5640_1_nw_2021,2021-06-01,"(371, 5640)",3dm_32_371_5640_1_nw,2022-01-01,214 days
dop10rgbi_32_375_5608_1_nw_2021,2021-05-01,"(375, 5608)",3dm_32_375_5608_1_nw,2021-12-01,214 days
dop10rgbi_32_377_5611_1_nw_2021,2021-05-01,"(377, 5611)",3dm_32_377_5611_1_nw,2021-12-01,214 days
dop10rgbi_32_380_5625_1_nw_2021,2021-06-01,"(380, 5625)",3dm_32_380_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_371_5639_1_nw_2021,2021-06-01,"(371, 5639)",3dm_32_371_5639_1_nw,2022-01-01,214 days
dop10rgbi_32_367_5623_1_nw_2021,2021-06-01,"(367, 5623)",3dm_32_367_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_379_5625_1_nw_2021,2021-06-01,"(379, 5625)",3dm_32_379_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_366_5633_1_nw_2021,2021-06-01,"(366, 5633)",3dm_32_366_5633_1_nw,2022-01-01,214 days
dop10rgbi_32_356_5625_1_nw_2021,2021-06-01,"(356, 5625)",3dm_32_356_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_349_5613_1_nw_2021,2021-05-01,"(349, 5613)",3dm_32_349_5613_1_nw,2021-12-01,214 days
dop10rgbi_32_375_5632_1_nw_2021,2021-06-01,"(375, 5632)",3dm_32_375_5632_1_nw,2022-01-01,214 days
dop10rgbi_32_364_5641_1_nw_2021,2021-06-01,"(364, 5641)",3dm_32_364_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_357_5607_1_nw_2021,2021-05-01,"(357, 5607)",3dm_32_357_5607_1_nw,2021-12-01,214 days
dop10rgbi_32_367_5613_1_nw_2021,2021-05-01,"(367, 5613)",3dm_32_367_5613_1_nw,2021-12-01,214 days
dop10rgbi_32_377_5640_1_nw_2021,2021-06-01,"(377, 5640)",3dm_32_377_5640_1_nw,2022-01-01,214 days
dop10rgbi_32_382_5637_1_nw_2021,2021-06-01,"(382, 5637)",3dm_32_382_5637_1_nw,2022-01-01,214 days
dop10rgbi_32_367_5626_1_nw_2021,2021-06-01,"(367, 5626)",3dm_32_367_5626_1_nw,2022-01-01,214 days
dop10rgbi_32_355_5602_1_nw_2021,2021-05-01,"(355, 5602)",3dm_32_355_5602_1_nw,2021-12-01,214 days
dop10rgbi_32_373_5612_1_nw_2021,2021-05-01,"(373, 5612)",3dm_32_373_5612_1_nw,2021-12-01,214 days
dop10rgbi_32_358_5625_1_nw_2021,2021-06-01,"(358, 5625)",3dm_32_358_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_388_5637_1_nw_2021,2021-06-01,"(388, 5637)",3dm_32_388_5637_1_nw,2022-01-01,214 days
dop10rgbi_32_352_5608_1_nw_2021,2021-05-01,"(352, 5608)",3dm_32_352_5608_1_nw,2021-12-01,214 days
dop10rgbi_32_353_5637_1_nw_2021,2021-06-01,"(353, 5637)",3dm_32_353_5637_1_nw,2022-01-01,214 days
dop10rgbi_32_364_5637_1_nw_2021,2021-06-01,"(364, 5637)",3dm_32_364_5637_1_nw,2022-01-01,214 days
dop10rgbi_32_366_5641_1_nw_2021,2021-06-01,"(366, 5641)",3dm_32_366_5641_1_nw,2022-01-01,214 days
dop10rgbi_32_386_5623_1_nw_2021,2021-06-01,"(386, 5623)",3dm_32_386_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_383_5610_1_nw_2021,2021-05-01,"(383, 5610)",3dm_32_383_5610_1_nw,2021-12-01,214 days
dop10rgbi_32_369_5636_1_nw_2021,2021-06-01,"(369, 5636)",3dm_32_369_5636_1_nw,2022-01-01,214 days
dop10rgbi_32_374_5626_1_nw_2021,2021-06-01,"(374, 5626)",3dm_32_374_5626_1_nw,2022-01-01,214 days
dop10rgbi_32_370_5636_1_nw_2021,2021-06-01,"(370, 5636)",3dm_32_370_5636_1_nw,2022-01-01,214 days
dop10rgbi_32_351_5626_1_nw_2021,2021-06-01,"(351, 5626)",3dm_32_351_5626_1_nw,2022-01-01,214 days
dop10rgbi_32_404_5625_1_nw_2021,2021-06-01,"(404, 5625)",3dm_32_404_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_377_5638_1_nw_2021,2021-06-01,"(377, 5638)",3dm_32_377_5638_1_nw,2022-01-01,214 days
dop10rgbi_32_375_5611_1_nw_2021,2021-05-01,"(375, 5611)",3dm_32_375_5611_1_nw,2021-12-01,214 days
dop10rgbi_32_365_5638_1_nw_2021,2021-06-01,"(365, 5638)",3dm_32_365_5638_1_nw,2022-01-01,214 days
dop10rgbi_32_377_5623_1_nw_2021,2021-06-01,"(377, 5623)",3dm_32_377_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_380_5633_1_nw_2021,2021-06-01,"(380, 5633)",3dm_32_380_5633_1_nw,2022-01-01,214 days
dop10rgbi_32_368_5633_1_nw_2021,2021-06-01,"(368, 5633)",3dm_32_368_5633_1_nw,2022-01-01,214 days
dop10rgbi_32_371_5637_1_nw_2021,2021-06-01,"(371, 5637)",3dm_32_371_5637_1_nw,2022-01-01,214 days
dop10rgbi_32_394_5623_1_nw_2021,2021-06-01,"(394, 5623)",3dm_32_394_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_372_5624_1_nw_2021,2021-06-01,"(372, 5624)",3dm_32_372_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_374_5639_1_nw_2021,2021-06-01,"(374, 5639)",3dm_32_374_5639_1_nw,2022-01-01,214 days
dop10rgbi_32_381_5623_1_nw_2021,2021-06-01,"(381, 5623)",3dm_32_381_5623_1_nw,2022-01-01,214 days
dop10rgbi_32_366_5625_1_nw_2021,2021-06-01,"(366, 5625)",3dm_32_366_5625_1_nw,2022-01-01,214 days
dop10rgbi_32_370_5612_1_nw_2021,2021-05-01,"(370, 5612)",3dm_32_370_5612_1_nw,2021-12-01,214 days
dop10rgbi_32_355_5633_1_nw_2021,2021-06-01,"(355, 5633)",3dm_32_355_5633_1_nw,2022-01-01,214 days
dop10rgbi_32_357_5603_1_nw_2021,2021-05-01,"(357, 5603)",3dm_32_357_5603_1_nw,2021-12-01,214 days
dop10rgbi_32_376_5636_1_nw_2021,2021-06-01,"(376, 5636)",3dm_32_376_5636_1_nw,2022-01-01,214 days
dop10rgbi_32_388_5624_1_nw_2021,2021-06-01,"(388, 5624)",3dm_32_388_5624_1_nw,2022-01-01,214 days
dop10rgbi_32_348_5612_1_nw_2021,2021-05-01,"(348, 5612)",3dm_32_348_5612_1_nw,2021-12-01,214 days
dop10rgbi_32_380_5611_1_nw_2021,2021-05-01,"(380, 5611)",3dm_32_380_5611_1_nw,2021-12-01,214 days
