Kachelname,Erfassungsmethode,Aktualitaet,Bildflugnummer,Kamera_Sensor,Bodenpixelgroesse,Spektralkanaele,Koordinatenreferenzsystem_Lage,Koordinatenreferenzsystem_Hoehe,Bezugsflaeche,Koordinatenursprung_East,Koordinatenursprung_North,Anzahl_Spalten,Anzahl_Zeilen,Farbtiefe,Standardabweichung,Dateiformat,Hintergrund,Quelldatenqualitaet,Kompression,Komprimierung,Belaubungszustand,Bemerkungen
dop10rgbi_32_450_5730_1_nw_2022,0,2022-02-27,1381/22 Soest,UCEM3-431S71678X911005-f100_UCE-M3,10,RGBI,25832,7837,bDOM,450000,5730000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_460_5771_1_nw_2022,0,2022-03-09,1380/22 Gütersloh,UCEM3-1-82416042-f100_UC-EpII,10,RGBI,25832,7837,bDOM,460000,5771000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_321_5617_1_nw_2021,0,2021-03-07,1356/21 Aachen Kronenburg,UCEM3-1-82416042_UCE-M3,10,RGBI,25832,7837,bDOM,321000,5617000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_432_5648_1_nw_2021,0,2021-06-01,1363/21 Siegen,UCEM3-431S61885X_UCE-M3,10,RGBI,25832,7837,bDOM,432000,5648000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_308_5711_1_nw_2022,0,2022-06-14,1382/22 Kleve,UCEM3-431S61680X916102-f100_UCE-M3,10,RGBI,25832,7837,bDOM,308000,5711000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_519_5741_1_nw_2022,0,2022-06-18,1389/22 Höxter,UCEM3-431S41091X314298-f100_UCE-M3,10,RGBI,25832,7837,bDOM,519000,5741000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_435_5764_1_nw_2022,0,2022-03-10,1377/22 Greven Ibbenbüren,UCEM3-431S91898X119229-f100_UCE-M3,10,RGBI,25832,7837,bDOM,435000,5764000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
dop10rgbi_32_528_5719_1_nw_2022,0,2022-06-15,1389/22 Höxter,UCEM3-431S41091X314298-f100_UCE-M3,10,RGBI,25832,7837,bDOM,528000,5719000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_392_5661_1_nw_2021,0,2021-06-01,1362/21,DMCIII-27514_DMCIII,10,RGBI,25832,7837,bDOM,392000,5661000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",3,keine
dop10rgbi_32_415_5717_1_nw_2021,0,2021-03-29,1364/21 Dortmund Hamm,UrbanMapper2-12-0101_UrbanMapper2,10,RGBI,25832,7837,bDOM,415000,5717000,10000,10000,8,20,JPEG2000,0,1,1,"GDAL_JP2ECW, 90",1,keine
